,network,id,createdAt,voter,outcome,reputation,dao,proposal
19,mainnet,0x00b145d86cb2c1cea367e0cf8b7ff4060b8b28dae4ac98952dd8169c526eaeb5,1565797657,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,Pass,212544782969216520108,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x92ea7a40a8bb029b3f891356ee0f1d1be5579a90a1d3d9927eab2233bb68d577
20,mainnet,0x00b284fb937d0a3aab50cb5b691a569bbaeb8aad327bd74ca1c446459f612229,1583511485,0x7f2a1ef39ea0d470b5669ce105a13c5b3bd8cd31,Pass,83526000000000000000000,0x15344ecdc2c4edfcb092e284d93c20f0529fd8a6,0x510cc25992aec5e0e700070f6efcecd50130da2eefc96a45881e62ac8005f3d1
21,mainnet,0x00b2f28cde96be1dc6c1e62e77bbed378f597b92e2a3fafec2a346ac8b7ecf33,1614300172,0x3111327edd38890c3fe564afd96b4c73e8101747,Pass,25034000000000000000000,0x519b70055af55a007110b4ff99b0ea33071c720a,0xc001faffa00afc463994ef30be091b593b72e95088d1b83dde42fe3200a362b1
22,mainnet,0x00cda1d45027625cb7f1936601bfd31a71b598ff0922c0c4e089db8b72570533,1566554214,0x33f19221618359fdbd68245220b1e6d07d2da12c,Pass,49085243127589397054,0x519b70055af55a007110b4ff99b0ea33071c720a,0x74cbda473a10059324404c16da7ebfb95926da34354607fc89ae2629942e2a24
23,mainnet,0x00dc87530d4456534606bf28cf869290243b66fcbb74e6374e763c5cfc1d167b,1573342117,0x512a08bc90aff94914465ed0b7bcaae30254c6d3,Pass,154560000000000000000,0xf931ff012cbff471cccb90a784e3e88b512c890a,0x7347aeda5f59d88713c803d0abb58e67c8be2edc1c4324be786c5c858613c14c
24,mainnet,0x00ed9187bbb6203eb7e2750fb3cc7d6a35624c4960ab0b82b65d394c58b1c26a,1568658311,0x84443f61efc60d10da9f9a2398980cd5748394bb,Pass,77038334643923528794854,0x519b70055af55a007110b4ff99b0ea33071c720a,0x16d648db714a8602167f2a6599989d2ec4ffe365b4e7b67e02fafe982c645d6a
25,mainnet,0x00f10ad16c8d92829d060a848aadb4bd33d0fa9f0f088ccc3b75708a02fcbc5b,1565824881,0xa15ca74e65bf72730811abf95163e89ad9b9dff6,Pass,100000000000000000000,0xe8e1d0f1783b22ff409deb14fa5acc9cce2a3d15,0x5ca8b8244d5ea77bff1a71e4363225a717f2847e5336e5fdd86fa7f44acb7a31
26,mainnet,0x0100fb87ffdc4ac7d2c236b3215639cd2401f136e8e26782173bdddd103900fe,1588532299,0xb0e83c2d71a991017e0116d58c5765abc57384af,Pass,13491424396697634708660,0x519b70055af55a007110b4ff99b0ea33071c720a,0x9216c07af30ef202f4be45f2a5531ca4db034798ef4130b50fb620d95f9b66ea
27,mainnet,0x01299f43afe858af83e14d69d72cd6af34570fbdf6969e1d9ab1a94660e6146c,1568795799,0xc4d9d1a93068d311ab18e988244123430eb4f1cd,Fail,626380409892047180416,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x8f56d9e107897903d401aef317ded025f27422ecdc9af0a9406e45b4bc9daf28
28,mainnet,0x012d3487c0a8cf276428b829a52856ba957889798b2f861f0f930deb8ce19434,1580226646,0xdb40ae9e2cbaf17bbe68d2ae221fa499f8e42c85,Pass,9009750163069772617,0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7,0x7501b3f98c33aea1b70ab159ef5590366c258dd79d85312f0e2fb3f6d30e6cc3
